date,vt1,vt1.5,vt2,vt2.5,vt3,ma1,ma2,ma3,ny1,ny2,ny3,md1,md2,md3,pa1,pa2,pa3,de1,de2,de3,vt1.cum,vt1.5.cum,vt2.cum,vt2.5.cum,vt3.cum,ma1.cum,ma2.cum,ma3.cum,ny1.cum,ny2.cum,ny3.cum,md1.cum,md2.cum,md3.cum,pa1.cum,pa2.cum,pa3.cum,de1.cum,de2.cum,de3.cum
11/22/21,1.830109757,1.830109757,1.830109757,1.830109757,1.830109757,3.37,3.37,3.367979546,2.008835339,2.008835339,2.008835339,4.248622552,4.248622552,4.248622552,0.386681689,3.14586659,3.14586659,7.233074001,7.233074001,7.233074001,791.4526994,573.3526994,461.6368611,325.3368611,196.0368611,892.85,573.1061787,127.9761182,582.5547086,186.2426619,60.32451999,852.8463353,406.1185661,119.8419054,497.0132788,260.4112852,13.76714748,607.7060181,186.4560181,51.66865419
11/23/21,0,0,0,0,0,0.00,0.00,0,0,0,0,4.128129363,4.128129363,4.128129363,0,4.836257595,4.836257595,0.535115034,0.535115034,0.535115034,791.4526994,573.3526994,461.6368611,325.3368611,196.0368611,892.85,573.1061787,127.9761182,582.5547086,186.2426619,60.32451999,856.9744647,410.2466955,123.9700348,497.0132788,265.2475428,18.60340507,608.2411331,186.9911331,52.20376923
11/24/21,0,0,0,0,0,1.09,1.09,1.086860263,0,0,0,0.530754736,0.530754736,0.530754736,0.384249835,3.541902803,3.541902803,1.565893675,1.565893675,1.565893675,791.4526994,573.3526994,461.6368611,325.3368611,196.0368611,893.94,574.193039,129.0629785,582.5547086,186.2426619,60.32451999,857.5052194,410.7774502,124.5007895,497.3975286,268.7894456,22.14530788,609.8070268,188.5570268,53.7696629
11/25/21,0,0,0,0,0,0.23,0.23,0.227111109,0.458539059,0.458539059,0.458539059,2.189187761,2.189187761,2.189187761,2.975645325,3.908371775,3.908371775,5.754315814,5.754315814,5.754315814,791.4526994,573.3526994,461.6368611,325.3368611,196.0368611,894.17,574.4201501,129.2900896,583.0132477,186.701201,60.78305905,859.6944072,412.966638,126.6899773,500.3731739,272.6978174,26.05367965,615.5613426,194.3113426,59.52397871
11/26/21,0,0,0,0,0,0.44,0.44,0.439997789,1.437429256,1.437429256,1.437429256,6.790505781,6.790505781,6.790505781,0.821284076,1.07787234,1.07787234,3.200703832,3.200703832,3.200703832,791.4526994,573.3526994,461.6368611,325.3368611,196.0368611,894.61,574.8601479,129.7300874,584.450677,188.1386303,62.22048831,866.4849129,419.7571437,133.4804831,501.194458,273.7756897,27.13155199,618.7620464,197.5120464,62.72468255
11/27/21,0,0,0,0,0,0.00,0.00,0,0,0,0,1.910828025,1.910828025,1.910828025,0,2.240528844,2.240528844,0.194136755,0.194136755,0.194136755,791.4526994,573.3526994,461.6368611,325.3368611,196.0368611,894.61,574.8601479,129.7300874,584.450677,188.1386303,62.22048831,868.395741,421.6679718,135.3913111,501.194458,276.0162186,29.37208083,618.9561832,197.7061832,62.9188193
11/28/21,0,0,0,0,0,0.00,0.00,0,0,0,0,0.370016939,0.370016939,0.370016939,0,0,0,6.32277972,6.32277972,6.32277972,791.4526994,573.3526994,461.6368611,325.3368611,196.0368611,894.61,574.8601479,129.7300874,584.450677,188.1386303,62.22048831,868.7657579,422.0379887,135.761328,501.194458,276.0162186,29.37208083,625.2789629,204.0289629,69.24159902
11/29/21,0,0,0,0,0,0.00,0.00,0,0,0,0,6.950304331,6.950304331,6.950304331,0,0.075318913,0.075318913,1.042429742,1.042429742,1.042429742,791.4526994,573.3526994,461.6368611,325.3368611,196.0368611,894.61,574.8601479,129.7300874,584.450677,188.1386303,62.22048831,875.7160622,428.988293,142.7116323,501.194458,276.0915375,29.44739975,626.3213926,205.0713926,70.28402876
11/30/21,0,0,0,0,0,0.00,0.00,0,0,0,0,1.121723739,1.121723739,1.121723739,0.27006309,4.51168819,4.51168819,2.436177513,2.436177513,2.436177513,791.4526994,573.3526994,461.6368611,325.3368611,196.0368611,894.61,574.8601479,129.7300874,584.450677,188.1386303,62.22048831,876.837786,430.1100168,143.8333561,501.4645211,280.6032257,33.95908794,628.7575701,207.5075701,72.72020628
12/1/21,0,0,0,0,0,1.20,1.20,1.195052734,0,0,0,3.259588685,3.259588685,3.259588685,0.611407272,0,0,5.122464563,5.122464563,5.122464563,791.4526994,573.3526994,461.6368611,325.3368611,196.0368611,895.81,576.0552006,130.9251401,584.450677,188.1386303,62.22048831,880.0973747,433.3696055,147.0929448,502.0759284,280.6032257,33.95908794,633.8800347,212.6300347,77.84267084
